species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Bathyraja abyssicola	DD	DD	DD	DD																
Carcharhinus limbatus		NT	VU	VU																
Carcharhinus obscurus		VU	LR/nt	EN	EN															
Carcharhinus plumbeus		VU	LR/nt	VU																
Carcharias taurus		VU	VU	EN					CR					NT						
Carcharodon carcharias		VU	VU	VU	VU	K	K													
Cetorhinus maximus		VU	VU	VU	EN	K	K													
Dalatias licha		NT	DD	LR/nt				VU												
Glyphis gangeticus				CR					CR											
Hexanchus griseus		NT	LR/nt	VU																
Lamna nasus			LR/nt	VU	VU					VU										
Pristis pectinata			EN	EN						CR	CR									
Rhincodon typus			VU	DD		I	I					EN	VU							
Notorynchus cepedianus		DD	LR/nt																	
Pristiophorus cirratus			LR/nt									LC		LC						
Squatina californica			LR/nt									NT	NT							
Squatina argentina			DD		CR					EN										
Squatina occulta			EN		CR				EN											
Squatina squatina	CR		VU		CR					CR										
Heterodontus francisci	DD		LR/lc							DD										
Heterodontus portusjacksoni	LC		LR/lc										LC							
Brachaelurus colcloughi	VU	VU	VU																	
Odontaspis noronhai		DD	DD		LC															
Pseudocarcharias kamoharai		NT	LR/nt		LC															
Megachasma pelagios	LC		DD		LC								DD							
Alopias vulpinus		VU	DD		VU										DD					
Isurus oxyrinchus		NT	LR/nt		EN															
Lamna ditropis		LC	DD		LC															
Haploblepharus edwardsii		NT	LR/nt																	
Haploblepharus fuscus		VU	LR/nt																	
Schroederichthys bivius		DD	DD																	
Poroderma africanum		NT	LR/nt																	
Scyliorhinus capensis			LR/nt													NT				
Leptocharias smithii		NT	LR/nt																	
Furgaleus macki			LR/cd									LC		LC						
Galeorhinus galeus			VU							VU										
Hemitriakis leucoperiptera			EN							EN										
Hypogaleus hyugaensis			LR/nt									LC	NT							
Mustelus antarcticus			LR/cd									LC		LC						
Mustelus lenticulatus			LR/cd					LC						LC						
Mustelus asterias		LC	LR/lc																	
Mustelus mustelus		VU	LR/lc																	
Mustelus canis		NT	LR/nt																	
Scylliogaleus quecketti		VU	VU		VU															
Triakis acutipinna		EN	VU																	
Triakis megalopterus		NT	LR/nt																	
Triakis semifasciata	LC	LC	LR/cd																	
Carcharhinus amblyrhynchos		NT	LR/nt																	
Carcharhinus amboinensis		NT	LR/nt																	
Carcharhinus borneensis		EN	EN																	
Carcharhinus brevipinna		NT	VU																	
Carcharhinus hemiodon			VU											CR						
Carcharhinus falciformis		NT	LR/lc									NT					VU			
Carcharhinus leiodon		VU	VU														EN			
Carcharhinus leucas		NT	LR/nt																	
Carcharhinus limbatus		NT	VU	VU																
Carcharhinus longimanus	VU		LR/nt		CR					VU										
Carcharhinus melanopterus		NT	LR/nt																	
Galeocerdo cuvier		NT	LR/nt		NT															
Glyphis glyphis		EN	EN																	
Negaprion brevirostris	NT	NT	LR/nt																	
Prionace glauca		NT	LR/nt		NT															
Rhizoprionodon terraenovae		LC	LR/lc																	
Scoliodon laticaudus		NT	LR/nt																	
Triaenodon obesus		NT	LR/nt																	
Sphyrna lewini		EN	LR/nt		CR															
Sphyrna mokarran			DD		CR				EN											
Sphyrna tiburo			LR/lc									LC	LC							
Sphyrna zygaena		VU	LR/nt		VU															
Anoxypristis cuspidata			EN							CR	EN									
Pristis clavata			EN							CR	EN									
Pristis zijsron			EN							CR	CR									
Rhynchobatus djiddensis					CR					VU										
Tetronarce californica	LC		LR/lc										LC							
Dipturus batis			EN							CR										
Raja clavata			LR/nt									NT	NT							
Raja microocellata		NT	LR/nt																	
Potamotrygon henlei			DD													LC				
Potamotrygon leopoldi		DD	DD																	
Potamotrygon motoro		DD	DD																	
Fontitrygon garouaensis			VU									VU	VU							
Hemitrygon laosensis			EN									EN	EN					EN		
Urogymnus polylepis			CR									EN						EN		
Fluvitrygon signifer			EN									EN	EN							
Taeniura lymma		NT	LR/nt																	
Urogymnus asperrimus			VU									VU	VU							
Fontitrygon ukpam		EN	EN									EN								
Aetobatus narinari			DD							NT										
Myliobatis californicus	LC		LR/lc							LC										
Squatina guggenheim			EN		EN															
Notorynchus cepedianus		DD	LR/nt																	
Carcharhinus amboinensis		NT	LR/nt																	
Carcharhinus brevipinna		NT	VU																	
Dipturus laevis			VU											EN						
Carcharhinus amblyrhynchoides		NT	LR/nt																	
Pseudobatos horkelii			CR						CR			CR								
Apristurus albisoma	LC													NT						
Apristurus exsanguis								LC						LC						
Asymbolus analis	LC													DD						
Asymbolus funebris												DD		DD						
Asymbolus occiduus												LC		LC						
Asymbolus pallidus												LC		LC						
Asymbolus parvus												LC		LC						
Asymbolus rubiginosus	LC													LC						
Asymbolus submaculatus												LC		LC						
Asymbolus vincenti												LC		LC						
Atelomycterus fasciatus	LC													LC						
Atelomycterus macleayi	LC													LC						
Atelomycterus marmoratus														NT						
Aulohalaelurus labiosus	LC													LC						
Brachaelurus waddi	LC													LC						
Carcharhinus cautus														DD						
Carcharhinus fitzroyensis					LC									LC						
Carcharhinus galapagensis					LC									NT						
Carcharhinus macloti														NT						
Carcharhinus sealei														NT						
Carcharhinus tilstoni					LC									LC						
Centrophorus harrissoni											EN			CR						
Carcharhinus brachyurus														VU						
Carcharhinus brachyurus														VU						
Callorhinchus milii	LC													LC						
Centrophorus uyato														DD						
Centroscyllium kamoharai								LC						DD						
Centroscymnus coelolepis														NT						
Centroscymnus owstonii								VU						LC						
Cephaloscyllium isabellum								LC						LC						
Cephaloscyllium laticeps												LC		LC						
Chiloscyllium indicum														NT						
Chiloscyllium griseum														NT						
Chimaera panthera								DD						DD						
Chlamydoselachus anguineus												LC		NT						
Cirrhigaleus barbifer		DD												NT						
Bathytoshia brevicaudata												LC		LC						
Hemitrygon fluviorum												VU		VU						
Deania calcea														LC						
Dipturus innominatus								LC						NT						
Zearaja nasutus								LC						LC						
Echinorhinus brucus														DD						
Echinorhinus cookei								DD						NT						
Etmopterus caudistigmus								LC						LC						
Etmopterus dianthus	LC													LC						
Etmopterus dislineatus	LC													LC						
Etmopterus evansi	LC													LC						
Etmopterus fusus	LC													LC						
Etmopterus pseudosqualiolus								LC						LC						
Eusphyra blochii												EN		NT						
Figaro boardmani												LC		LC						
Galeus gracilis												DD		DD						
Gogolia filewoodi														DD						
Gollum attenuatus								LC						LC						
Hemigaleus microstoma		VU												LC						
Hemiscyllium ocellatum	LC													NT						
Hemiscyllium strahani														VU						
Hemiscyllium trispeculare	LC													LC						
Hemitriakis abdita												DD		DD						
Hemitriakis falcata												LC		LC						
Heptranchias perlo														NT						
Heterodontus galeatus												LC		LC						
Heterodontus zebra														LC						
Hydrolagus bemisi								LC						LC						
Hydrolagus novaezealandiae								LC						LC						
Hypnos monopterygius	LC													LC						
Iago garricki												LC		LC						
Isistius brasiliensis								LC						LC						
Loxodon macrorhinus														LC						
Mobula eregoodoo														NT						
Nebrius ferrugineus														VU						
Negaprion acutidens														EN						
Orectolobus maculatus	LC	NT												NT						
Orectolobus ornatus	LC	NT												NT						
Orectolobus wardi	LC													LC						
Oxynotus bruniensis								NT						DD						
Parascyllium collare												LC		LC						
Parascyllium ferrugineum												LC		LC						
Parascyllium sparsimaculatum	DD													DD						
Parascyllium variolatum												LC		LC						
Parmaturus macmillani								DD						DD						
Pristiophorus nudipinnis												LC		LC						
Rhina ancylostoma					CR							VU		VU						
Rhizoprionodon acutus														LC						
Rhizoprionodon oligolinx														LC						
Rhizoprionodon taylori					LC									LC						
Rhynchobatus australiae					CR									VU						
Rhynchobatus laevis					CR							VU		VU						
Scymnodalatias albicauda								DD						DD						
Scymnodalatias sherwoodi								DD						DD						
Somniosus antarcticus								LC						DD						
Squaliolus aliae	LC													LC						
Squalus megalops														DD						
Squalus melanurus								DD						LC						
Squalus rancureli								NT						NT						
Squatina australis												LC		LC						
Squatina tergocellata												LC		LC						
Sutorectus tentaculatus	LC													LC						
Trygonorrhina fasciata	LC																			
Aulohalaelurus kanakorum								DD						VU						
Centrophorus squamosus														VU						
Chiloscyllium punctatum												NT		NT						
Eucrossorhinus dasypogon	LC													NT						
Hemipristis elongata												VU		VU						
Hemiscyllium hallstromi												VU		VU						
Odontaspis ferox		VU										VU		DD						
Squalus mitsukurii		DD												DD						
Stegostoma tigrinum					EN							EN		VU						
Apristurus melanoasper		DD										LC		DD						
Apristurus ampliceps	LC													DD						
Apristurus bucephalus	DD													DD						
Apristurus australis												LC		DD			LC			
Cephaloscyllium albipinnum					CR									NT				NT		
Cephaloscyllium variegatum					NT									DD				NT		
Cephaloscyllium zebrum												DD		DD				DD		
Cephaloscyllium speccum												DD		DD				DD		
Figaro striatus												DD		DD						
Glyphis garricki														CR						
Halaelurus sellus		LC										LC		LC						
Mustelus stevensi					LC									LC				LC		
Orectolobus hutchinsi	LC	DD												LC						
Parmaturus bigus		DD										DD		DD						
Pristiophorus delicatus	LC													LC						
Rhinobatos sainsburyi	LC													LC						
Squalus notocaudatus					LC									DD						
Squalus albifrons					LC									DD						
Squalus crassispinus					LC									DD						
Squalus nasutus					NT									DD						
Squalus grahami					NT									NT						
Squatina pseudocellata												LC		DD						
Squatina albipunctata												VU		VU						
Urolophus kapalensis					NT									NT						
Hemiscyllium ocellatum	LC													NT						
Negaprion acutidens														EN						
Centrophorus moluccensis											LC			DD						
Carcharias taurus		VU	VU	EN					CR					NT						
Carcharias taurus		VU	VU	EN					CR					NT						
Squalus acanthias										LC		VU		VU						
