species	rate_e_mean	rate_e_lower	rate_e_upper
All taxa combined	0.00274612	0.00274008	0.00275186
Acanthias vulgaris	0.00297426	0.00288792	0.00306362
Aetobatus narinari	0.00192633	0.00185779	0.00198928
Aetomylaeus bovinus	0.00133311	0.00127831	0.00138718
Alopias pelagicus	0.00785926	0.00768538	0.00803372
Alopias superciliosus	0.00511548	0.00499395	0.00524194
Alopias vulpes	0.00299401	0.00291162	0.00308432
Alopias vulpinus	0.00518466	0.00505639	0.00530683
Anoxypristis cuspidata	0.00773285	0.00755890	0.00791144
Carcharhinus acronotus	0.00196334	0.00189571	0.00202787
Carcharhinus albimarginatus	0.00512218	0.00500116	0.00524834
Carcharhinus altimus	0.00135623	0.00130327	0.00140988
Carcharhinus amblyrhynchoides	0.00196140	0.00189287	0.00202605
Carcharhinus amblyrhynchos	0.00199352	0.00192494	0.00205824
Carcharhinus amboinensis	0.00199410	0.00192926	0.00206544
Carcharhinus brachiurus	0.00294830	0.00285907	0.00303538
Carcharhinus brachyurus	0.00506936	0.00494644	0.00519307
Carcharhinus brevipinna	0.00194721	0.00188175	0.00201400
Carcharhinus commersonii	0.00302782	0.00293554	0.00311653
Carcharhinus falciformis	0.00522396	0.00509911	0.00535275
Carcharhinus galapagensis	0.00068829	0.00065215	0.00072480
Carcharhinus gangeticus	0.00298008	0.00289270	0.00306743
Carcharhinus isodon	0.00065166	0.00061343	0.00068640
Carcharhinus lamiella	0.00310879	0.00301693	0.00319626
Carcharhinus leucas	0.00201661	0.00195266	0.00208804
Carcharhinus limbatus	0.00194363	0.00187801	0.00201085
Carcharhinus longimanus	0.01590104	0.01557126	0.01624992
Carcharhinus macloti	0.00196450	0.00189877	0.00203181
Carcharhinus maculipinnis	0.00295224	0.00286430	0.00303766
Carcharhinus melanopterus	0.00193284	0.00186510	0.00199478
Carcharhinus obscurus	0.00772484	0.00755274	0.00790060
Carcharhinus plumbeus	0.00512049	0.00499979	0.00524596
Carcharhinus porosus	0.00135758	0.00130371	0.00141147
Carcharhinus sealei	0.00201949	0.00195490	0.00208877
Carcharhinus signatus	0.00137923	0.00132304	0.00143192
Carcharhinus sorrah	0.00195651	0.00188728	0.00202051
Carcharhinus velox	0.00296457	0.00288001	0.00305660
Carcharias elegans	0.00299039	0.00290382	0.00307900
Carcharias taurus	0.00523370	0.00510703	0.00535859
Carcharias tricuspidatus	0.00295011	0.00286222	0.00303688
Carcharias vorax	0.00302636	0.00294251	0.00311938
Carcharodon arnoldi	0.00302596	0.00293660	0.00311838
Carcharodon carcharias	0.00516532	0.00504320	0.00529302
Carcharodon purplei	0.00299862	0.00291308	0.00308852
Carcharodon riversi	0.00308512	0.00299280	0.00317501
Carcharodon rondeleti	0.00304334	0.00295506	0.00313321
Carcharodon sulcidens	0.00299622	0.00290616	0.00307990
Centrophorus granulosus	0.00137234	0.00131953	0.00143048
Centrophorus radicans	0.00303295	0.00294376	0.00312077
Centrophorus squamosus	0.00504314	0.00492390	0.00516579
Centroscymnus coelolepis	0.00194612	0.00187921	0.00201043
Centroscymnus owstoni	0.00301986	0.00293142	0.00310959
Cephaloscyllium ventriosum	0.00069059	0.00065445	0.00072975
Cestracion longidens	0.00298717	0.00289744	0.00307373
Cestracion zygaena	0.00300488	0.00291673	0.00309571
Cetorhinus maximus	0.00781853	0.00764682	0.00799900
Cheirostephanus hurzeleri	0.00313401	0.00304570	0.00322668
Chlamydoselachus anguineus	0.00066297	0.00062803	0.00070007
Dalatias licha	0.00518472	0.00506230	0.00531624
Dasyatis americana	0.00311025	0.00301723	0.00319791
Dasyatis pastinaca	0.00136493	0.00131168	0.00141895
Deania calcea	0.00068742	0.00065174	0.00072616
Deania calceus	0.00299297	0.00290350	0.00308021
Echinorhinus brucus	0.00133948	0.00128470	0.00139089
Echinorhinus cookei	0.00137378	0.00131960	0.00142749
Etmopterus polli	0.00134493	0.00129002	0.00139694
Etmopterus spinax	0.00068363	0.00064647	0.00072018
Eugomphodus taurus	0.00297945	0.00289405	0.00307000
Galeocerdo arcticus	0.00302641	0.00293793	0.00311551
Galeocerdo cuvier	0.00195123	0.00188798	0.00202026
Galeocerdo cuvieri	0.00298432	0.00290009	0.00307293
Galeolamna gangetica	0.00304930	0.00296418	0.00313992
Galeorhinus australis	0.00307341	0.00298277	0.00316034
Galeorhinus galeus	0.00511546	0.00499267	0.00524043
Galeorhinus zyopterus	0.00302066	0.00293566	0.00311195
Galeus canis	0.00304574	0.00295821	0.00313407
Galeus melastomus	0.00067431	0.00063659	0.00071202
Galeus zyopterus	0.00305145	0.00296267	0.00313664
Ginglymostoma cirratum	0.00199335	0.00192358	0.00205984
Glyphis glyphis	0.00768134	0.00750955	0.00785657
Gymnura altavela	0.00514654	0.00502973	0.00527746
Hemipristis elongatus	0.00297344	0.00288900	0.00306373
Heptranchias perlo	0.00195488	0.00188937	0.00202238
Heterodontus francisci	0.00138933	0.00133497	0.00144477
Heterodontus japonicus	0.00068982	0.00065326	0.00072909
Hexanchus griseus	0.00196689	0.00190245	0.00203495
Hexanchus nakamurai	0.00142624	0.00136850	0.00148022
Hypoprion macloti	0.00296870	0.00288580	0.00305815
Isurus glaucus	0.00302921	0.00294152	0.00311851
Isurus hastalis	0.00307329	0.00298334	0.00316428
Isurus oxyrhinchus	0.00301517	0.00292922	0.00310662
Isurus oxyrhynchus	0.00304860	0.00295853	0.00313981
Isurus oxyrinchus	0.00772208	0.00754551	0.00789800
Isurus paucus	0.00784647	0.00767368	0.00802315
Isurus spallanzani	0.00294430	0.00285888	0.00303493
Isurus spallanzanii	0.00298216	0.00289856	0.00307238
Lamna ditropis	0.00069507	0.00065956	0.00073498
Lamna nasus	0.00511059	0.00498638	0.00522921
Megachasma pelagios	0.00068946	0.00065214	0.00072569
Miroscyllium sheikoi	0.00138008	0.00132412	0.00143492
Mitsukurina owstoni	0.00068359	0.00064673	0.00072029
Mobula hypostoma	0.00788098	0.00770569	0.00805706
Mobula munkiana	0.00523079	0.00510411	0.00535542
Mobula tarapacana	0.00784655	0.00767594	0.00802167
Mobula thurstoni	0.00782179	0.00764951	0.00799459
Mollisquama parini	0.00140497	0.00135182	0.00146094
Mustelus californicus	0.00069667	0.00065885	0.00073373
Mustelus henlei	0.00066153	0.00062704	0.00070059
Mustelus lunulatus	0.00065480	0.00061955	0.00069234
Myliobatis aquila	0.00136323	0.00130788	0.00141666
Myliobatis californica	0.00297939	0.00289371	0.00306850
Myliobatis californicus	0.00066789	0.00063306	0.00070476
Myliobatis freminvillii	0.00139818	0.00134466	0.00145523
Myliobatis tenuicaudatus	0.00070243	0.00066559	0.00074063
Nebrius ferrugineus	0.00501875	0.00490061	0.00514330
Negaprion brevirostris	0.00194353	0.00187975	0.00201346
Negaprion fronto	0.00289956	0.00281537	0.00298687
Notidanus gigas	0.00296555	0.00288161	0.00305546
Notorhynchus cepedianus	0.00300818	0.00291959	0.00309585
Notorynchus cepedianus	0.00133827	0.00128379	0.00139178
Notorynchus maculatum	0.00304813	0.00296023	0.00313830
Notorynchus maculatus	0.00299649	0.00290744	0.00308285
Odontaspis ferox	0.00519551	0.00507270	0.00532287
Odontaspis littoralis	0.00307244	0.00297919	0.00315865
Odontaspis taurus	0.00298285	0.00289300	0.00306595
Odontaspis tricuspidatus	0.00307746	0.00298934	0.00316824
Oxynotus centrina	0.00514101	0.00502087	0.00526656
Oxyrhina spallanzanii	0.00305405	0.00296459	0.00314481
Platyrhinoidis triseriata	0.00069141	0.00065484	0.00073035
Potamotrygon motoro	0.00140409	0.00134767	0.00145934
Prionace glauca	0.00195408	0.00188719	0.00202054
Prionace glaucus	0.00306154	0.00297017	0.00315061
Pristiophorus cirratus	0.00065956	0.00062291	0.00069617
Pristiophorus japonicus	0.00141774	0.00136344	0.00147446
Pristiophorus schroederi	0.00134380	0.00129141	0.00139821
Pristis pectinata	0.01607101	0.01574279	0.01642195
Pristis pectinatus	0.00303424	0.00294551	0.00312508
Pristis perotteti	0.00303111	0.00294265	0.00311934
Pristis pristis	0.01631199	0.01598352	0.01666841
Procarcharodon rondeletti	0.00304498	0.00295747	0.00313653
Pseudocarcharias kamoharai	0.00069057	0.00065408	0.00072814
