	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
0	Acroteriobatus annulatus						LC										LC							
1	Acroteriobatus blochii						LC										LC			LC				
2	Acroteriobatus leucospilus									DD							DD			EN				
3	Acroteriobatus ocellatus									DD							DD			DD				
4	Acroteriobatus omanensis																	DD						
5	Acroteriobatus salalah						DD										DD	NT						
6	Acroteriobatus variegatus									DD							DD	CR						
7	Acroteriobatus zanzibarensis						NT										NT							
8	Aculeola nigra				DD																			
9	Aetobatus flagellum						EN																	
10	Aetobatus narinari						NT																	
11	Aetobatus ocellatus																VU							
12	Aetomylaeus asperrimus									DD							DD							
13	Aetomylaeus bovinus						DD										DD							
14	Aetomylaeus caeruleofasciatus																LC							
15	Aetomylaeus maculatus						EN																	
16	Aetomylaeus milvus																	EN						
17	Aetomylaeus nichofii																VU							
18	Aetomylaeus vespertilio						EN										EN							
19	Alopias pelagicus									VU										EN				
20	Alopias superciliosus									VU										VU				
21	Alopias vulpinus		DD							VU										VU				
22	Amblyraja badia									LC							LC							
23	Amblyraja doellojuradoi							LC																
24	Amblyraja frerichsi				DD																			
25	Amblyraja georgiana									DD														
26	Amblyraja hyperborea							LC									LC							
27	Amblyraja jenseni									LC														
28	Amblyraja radiata									VU														
29	Amblyraja reversa									DD								DD						
30	Amblyraja robertsi									LC														
31	Amblyraja taaf									DD														
32	Anacanthobatis donghaiensis									DD														
33	Anacanthobatis marmorata				DD																			
34	Anacanthobatis nanhaiensis									DD														
35	Anacanthobatis stenosoma									DD														
36	Anoxypristis cuspidata						CR							EN										
37	Apristurus albisoma			NT												LC								
38	Apristurus ampliceps			DD												LC								
39	Apristurus aphyodes				DD											LC								
40	Apristurus australis			DD													LC	LC						
41	Apristurus breviventralis																	LC						
42	Apristurus brunneus				DD											DD								
43	Apristurus bucephalus			DD												DD								
44	Apristurus canutus				DD			DD																
45	Apristurus exsanguis			LC															LC					
46	Apristurus fedorovi				DD																			
47	Apristurus garricki																		LC					
48	Apristurus gibbosus				DD																			
49	Apristurus herklotsi				DD																			
50	Apristurus indicus									DD								LC						
51	Apristurus internatus				DD																			
52	Apristurus investigatoris				DD																			
53	Apristurus japonicus									DD														
54	Apristurus kampae				DD											DD								
55	Apristurus laurussonii				DD			DD																
56	Apristurus longicephalus				DD											LC								
57	Apristurus macrorhynchus				DD																			
58	Apristurus macrostomus				DD																			
59	Apristurus manis				LC															LC				
60	Apristurus melanoasper			DD						DD							LC							
61	Apristurus microps				LC															LC				
62	Apristurus micropterygeus				DD																			
63	Apristurus nasutus				DD																			
64	Apristurus parvipinnis				DD																			
65	Apristurus pinguis				DD											LC								
66	Apristurus platyrhynchus				DD											LC								
67	Apristurus profundorum				DD																			
68	Apristurus riveri				DD			DD																
69	Apristurus saldanha				LC															LC				
70	Apristurus sibogae									DD														
71	Apristurus sinensis				DD											DD								
72	Apristurus spongiceps				DD											DD								
73	Apristurus stenseni				DD																			
74	Aptychotrema rostrata									LC						LC								
75	Aptychotrema timorensis			LC			VU									VU								
76	Aptychotrema vincentiana				LC											LC								
77	Arhynchobatis asperrimus									DD									DD					
78	Asymbolus analis			DD												LC								
79	Asymbolus funebris			DD													DD							
80	Asymbolus galacticus											LC							LC					
81	Asymbolus occiduus			LC													LC							
82	Asymbolus pallidus			LC													LC							
83	Asymbolus parvus			LC													LC							
84	Asymbolus rubiginosus			LC												LC								
85	Asymbolus submaculatus			LC													LC							
86	Asymbolus vincenti			LC													LC							
87	Atelomycterus baliensis									VU														
88	Atelomycterus fasciatus			LC												LC								
89	Atelomycterus macleayi			LC												LC								
90	Atelomycterus marmoratus			NT																				
91	Atelomycterus marnkalha									DD						DD								
92	Atlantoraja castelnaui				EN																			
93	Atlantoraja cyclophora						VU																	
94	Atlantoraja platana							VU																
95	Aulohalaelurus kanakorum			VU															DD					
96	Aulohalaelurus labiosus			LC												LC								
97	Bathyraja abyssicola									DD						DD								
98	Bathyraja aguja						DD																	
