status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00014939	0.00031160	0.00051759	0.00016471	0.00073523	0.00055575	0.00082987	0.00145832	0.00049446	0.00088942	0.00128329	0.00024418	0.00059170	0.00081566	0.00008657	0.00048988	0.00042832	0.00103302	0.00076995	0.00071934	0.00047728	0.00036901	0.00071836	0.00042446	0.00055041	0.00046038	0.00071226	0.00034894	0.00069891	0.00072032	0.00049200	0.00032273	0.00080733	0.00063289	0.00085151	0.00029612	0.00060320	0.00036185	0.00070998	0.00072708	0.00059506	0.00059631	0.00073657	0.00035744	0.00037000	0.00029106	0.00096306	0.00009797	0.00171919	0.00076894	0.00024950	0.00012081	0.00034213	0.00035800	0.00049298	0.00032955	0.00034069	0.00025741	0.00039082	0.00024543	0.00112485	0.00039611	0.00036779	0.00081882	0.00038623	0.00119792	0.00026847	0.00128203	0.00005652	0.00027766	0.00064768	0.00010199	0.00016616	0.00040451	0.00050014	0.00035496	0.00056521	0.00080804	0.00024908	0.00044164	0.00079477	0.00044671	0.00028501	0.00108180	0.00074481	0.00081777	0.00038504	0.00034849	0.00066558	0.00093950	0.00021020	0.00084577	0.00042937	0.00027944	0.00073034	0.00034086	0.00071268	0.00059935	0.00083159	0.00098179
LC->VU	0.00143978	0.00154568	0.00129425	0.00074638	0.00118973	0.00086137	0.00065257	0.00133881	0.00091350	0.00052269	0.00086897	0.00075747	0.00162651	0.00219037	0.00159161	0.00056269	0.00160612	0.00102287	0.00074136	0.00278784	0.00088629	0.00147504	0.00136443	0.00125652	0.00065923	0.00203213	0.00091937	0.00111189	0.00131424	0.00126908	0.00209418	0.00152141	0.00183829	0.00137258	0.00148704	0.00133506	0.00087134	0.00114222	0.00122614	0.00126307	0.00143540	0.00132893	0.00061140	0.00144313	0.00172233	0.00050894	0.00059508	0.00128949	0.00181605	0.00101664	0.00090150	0.00048178	0.00153076	0.00131525	0.00152267	0.00070717	0.00092110	0.00083263	0.00059301	0.00114097	0.00127160	0.00150509	0.00079743	0.00204578	0.00078012	0.00122376	0.00200345	0.00066321	0.00124861	0.00066310	0.00079583	0.00142031	0.00117315	0.00168634	0.00175165	0.00202797	0.00122079	0.00175370	0.00169331	0.00069039	0.00093143	0.00079880	0.00122374	0.00116540	0.00083210	0.00097168	0.00060369	0.00204940	0.00085074	0.00105318	0.00151262	0.00139133	0.00125608	0.00147376	0.00087455	0.00180923	0.00107645	0.00075620	0.00171355	0.00130332
LC->EN	0.00007211	0.00012001	0.00000980	0.00001881	0.00013074	0.00015218	0.00002482	0.00000277	0.00013589	0.00001274	0.00006561	0.00000636	0.00003839	0.00002809	0.00014834	0.00070638	0.00008361	0.00022588	0.00014719	0.00020821	0.00013970	0.00009241	0.00017475	0.00008516	0.00013914	0.00000261	0.00002575	0.00026012	0.00102023	0.00048488	0.00026727	0.00008633	0.00011826	0.00022324	0.00000908	0.00014829	0.00013116	0.00039843	0.00002238	0.00012289	0.00033683	0.00033670	0.00006630	0.00007801	0.00009308	0.00014216	0.00001029	0.00073501	0.00002108	0.00004877	0.00019984	0.00001158	0.00008435	0.00048857	0.00019970	0.00000158	0.00003995	0.00012104	0.00000773	0.00006714	0.00042713	0.00011487	0.00011142	0.00002723	0.00002049	0.00039900	0.00030361	0.00023022	0.00003224	0.00004094	0.00092748	0.00043185	0.00002056	0.00035680	0.00082702	0.00006779	0.00000115	0.00035218	0.00011327	0.00040258	0.00024859	0.00013568	0.00002676	0.00003144	0.00003354	0.00001754	0.00002421	0.00008690	0.00019038	0.00007309	0.00042835	0.00001258	0.00015808	0.00098556	0.00003952	0.00004018	0.00003688	0.00011139	0.00016967	0.00039245
LC->CR	0.00007555	0.00028330	0.00054808	0.00012892	0.00012459	0.00007073	0.00004342	0.00019400	0.00043071	0.00064577	0.00053067	0.00000276	0.00017725	0.00012071	0.00000963	0.00045711	0.00015160	0.00034557	0.00028471	0.00022165	0.00012769	0.00006076	0.00052256	0.00008255	0.00006552	0.00005056	0.00015721	0.00007770	0.00016622	0.00004321	0.00006531	0.00080869	0.00003950	0.00028390	0.00007645	0.00004842	0.00013176	0.00029772	0.00006883	0.00002792	0.00003597	0.00015036	0.00049528	0.00001260	0.00011785	0.00036141	0.00063597	0.00006356	0.00004764	0.00022636	0.00017964	0.00028904	0.00037761	0.00018068	0.00001332	0.00001220	0.00010025	0.00005194	0.00004114	0.00035979	0.00008891	0.00025664	0.00023880	0.00017305	0.00019356	0.00064690	0.00010585	0.00036741	0.00005293	0.00026978	0.00018211	0.00017005	0.00011548	0.00011130	0.00021384	0.00062635	0.00032227	0.00005422	0.00009643	0.00000971	0.00002166	0.00023002	0.00002117	0.00022151	0.00011320	0.00012750	0.00005289	0.00002675	0.00019789	0.00010025	0.00021164	0.00015895	0.00012108	0.00039904	0.00007593	0.00023788	0.00014868	0.00013821	0.00028605	0.00022028
LC->DD	0.00149243	0.00180277	0.00166423	0.00150557	0.00080091	0.00128321	0.00145154	0.00090592	0.00250752	0.00164272	0.00212864	0.00211422	0.00169874	0.00126444	0.00200979	0.00117623	0.00077491	0.00201528	0.00049855	0.00159110	0.00136765	0.00083312	0.00092339	0.00149771	0.00091864	0.00242647	0.00106149	0.00223910	0.00146788	0.00209728	0.00103267	0.00099844	0.00147445	0.00204359	0.00090071	0.00208562	0.00177328	0.00077614	0.00215507	0.00195327	0.00108719	0.00151692	0.00136712	0.00119227	0.00134496	0.00139000	0.00047588	0.00157925	0.00149771	0.00124856	0.00170459	0.00105181	0.00130813	0.00131589	0.00154209	0.00173969	0.00182502	0.00099488	0.00064540	0.00226889	0.00080545	0.00141731	0.00138484	0.00062708	0.00145164	0.00270733	0.00156567	0.00210987	0.00113226	0.00143202	0.00205807	0.00167480	0.00157175	0.00126669	0.00112292	0.00165510	0.00198598	0.00061725	0.00190441	0.00090777	0.00237446	0.00071856	0.00062215	0.00122110	0.00155405	0.00227103	0.00043513	0.00070803	0.00113855	0.00240790	0.00118176	0.00069944	0.00190130	0.00161466	0.00130115	0.00169578	0.00180950	0.00137543	0.00178211	0.00067522
NT->LC	0.00998761	0.00731858	0.01116204	0.00600987	0.00823457	0.00597753	0.00885132	0.00796628	0.00765124	0.01045257	0.00715521	0.00837951	0.00875496	0.00903735	0.00732101	0.00918060	0.00782410	0.00788503	0.00779141	0.00724035	0.00730062	0.01455771	0.01106546	0.00868822	0.00973053	0.00836568	0.00957556	0.00665268	0.01019279	0.01106127	0.00864779	0.00640227	0.01015111	0.01186919	0.01065372	0.00714398	0.00737722	0.00706419	0.01042628	0.00835725	0.00770988	0.00561487	0.01323779	0.00984547	0.01198478	0.01397129	0.00929164	0.00862114	0.00729757	0.00607071	0.00633925	0.00539944	0.01134328	0.01080370	0.00871924	0.01038289	0.00767569	0.00848204	0.00974384	0.00970032	0.01033392	0.00950659	0.00874711	0.00744151	0.00986284	0.00794980	0.00824117	0.00670650	0.00785426	0.01213401	0.00783995	0.00848450	0.00738396	0.00936903	0.00882097	0.01019874	0.01040792	0.00868947	0.01080651	0.01299120	0.00591611	0.00843388	0.00868318	0.01080045	0.00803467	0.00593075	0.00800023	0.00815928	0.00923114	0.00768429	0.00820103	0.00865016	0.00924474	0.01181185	0.00825894	0.00793928	0.00891824	0.00952317	0.00762441	0.00850179
NT->VU	0.00301917	0.00328609	0.00403309	0.00545126	0.00324556	0.00353442	0.00448807	0.00303835	0.00722547	0.00430889	0.00608164	0.00488228	0.00535620	0.00447075	0.00291462	0.00313061	0.00774227	0.00377569	0.00305502	0.00290477	0.00286540	0.00275027	0.00615314	0.00277044	0.00178978	0.00461526	0.00418477	0.00362464	0.00484530	0.00241331	0.00557692	0.00620606	0.00482073	0.00255889	0.00328561	0.00469363	0.00442675	0.00406748	0.00148040	0.00351931	0.00231213	0.00426232	0.00345836	0.00222492	0.00351865	0.00214313	0.00279539	0.00402193	0.00687134	0.00515212	0.00493818	0.00805346	0.00556235	0.00626939	0.00455639	0.00545787	0.00607732	0.00501767	0.00226225	0.00467885	0.00386906	0.00313694	0.00245672	0.00470279	0.00412729	0.00719141	0.00154739	0.00411428	0.00267926	0.00626665	0.00879111	0.00467337	0.00389099	0.00333045	0.00268922	0.00448240	0.00342397	0.00407874	0.00371421	0.00453332	0.00524444	0.00413085	0.00098236	0.00302742	0.00259735	0.00397182	0.00289079	0.00243031	0.00246851	0.00391103	0.00276182	0.00819968	0.00383769	0.00524085	0.00456829	0.00480640	0.00526342	0.00580619	0.00668642	0.00574223
NT->EN	0.00452057	0.00337078	0.00196385	0.00274142	0.00332784	0.00286474	0.00237990	0.00340156	0.00382248	0.00142198	0.00212986	0.00453156	0.00187394	0.00140565	0.00244094	0.00300368	0.00234114	0.00321449	0.00295425	0.00443786	0.00554296	0.00581386	0.00160213	0.00199362	0.00202750	0.00111642	0.00386113	0.00323619	0.00422229	0.00156487	0.00398718	0.00293170	0.00204309	0.00136357	0.00509185	0.00156670	0.00373464	0.00419850	0.00191634	0.00120940	0.00216061	0.00282188	0.00362853	0.00182397	0.00252293	0.00253538	0.00349520	0.00338453	0.00223616	0.00088821	0.00235198	0.00247495	0.00378950	0.00254004	0.00574783	0.00217254	0.00395415	0.00337188	0.00280690	0.00303334	0.00526227	0.00446882	0.00269007	0.00143334	0.00369616	0.00127203	0.00249548	0.00116763	0.00144471	0.00284925	0.00322661	0.00107372	0.00437245	0.00197230	0.00235080	0.00369603	0.00487046	0.00406868	0.00270803	0.00257835	0.00397856	0.00323975	0.00398664	0.00381356	0.00359077	0.00393804	0.00290230	0.00128198	0.00355365	0.00286720	0.00392345	0.00329137	0.00345639	0.00315479	0.00201200	0.00237638	0.00291854	0.00169345	0.00231289	0.00214680
NT->CR	0.00139549	0.00176746	0.00137749	0.00176444	0.00054148	0.00183854	0.00096704	0.00030103	0.00088902	0.00134748	0.00148177	0.00126798	0.00143460	0.00117599	0.00054776	0.00224533	0.00066207	0.00100729	0.00070772	0.00140986	0.00039874	0.00089092	0.00017631	0.00160906	0.00102408	0.00064064	0.00317500	0.00240121	0.00331133	0.00061616	0.00037131	0.00062691	0.00103157	0.00064648	0.00074730	0.00398072	0.00105597	0.00046524	0.00063286	0.00136861	0.00042154	0.00150226	0.00142387	0.00128662	0.00115175	0.00042934	0.00221104	0.00070554	0.00301209	0.00174566	0.00163299	0.00422071	0.00229902	0.00044739	0.00091892	0.00043668	0.00135883	0.00041299	0.00156658	0.00057044	0.00105527	0.00109629	0.00132596	0.00035565	0.00093380	0.00088280	0.00143432	0.00209363	0.00121650	0.00137030	0.00041884	0.00124474	0.00070301	0.00057178	0.00059138	0.00194351	0.00208209	0.00187699	0.00242127	0.00080275	0.00104043	0.00153709	0.00041734	0.00146251	0.00155182	0.00133415	0.00190613	0.00168221	0.00068014	0.00126056	0.00035364	0.00090679	0.00098721	0.00199474	0.00096485	0.00101320	0.00082349	0.00153453	0.00079473	0.00142021
NT->DD	0.00230298	0.00169997	0.00122739	0.00104615	0.00214973	0.00293806	0.00178358	0.00172192	0.00135751	0.00297002	0.00398051	0.00180623	0.00194637	0.00298783	0.00114617	0.00337821	0.00141147	0.00272581	0.00280959	0.00295525	0.00090027	0.00084532	0.00159106	0.00079059	0.00277315	0.00174870	0.00341532	0.00162435	0.00368565	0.00297659	0.00165792	0.00161577	0.00161335	0.00235224	0.00172777	0.00058320	0.00187566	0.00082024	0.00098045	0.00417865	0.00289200	0.00093057	0.00261459	0.00374399	0.00265584	0.00151337	0.00193642	0.00046465	0.00423547	0.00109114	0.00099339	0.00258638	0.00225244	0.00230616	0.00202025	0.00135042	0.00187436	0.00070575	0.00116283	0.00488534	0.00122811	0.00205574	0.00403457	0.00238785	0.00142461	0.00158667	0.00193023	0.00123020	0.00411267	0.00230257	0.00088408	0.00082031	0.00167098	0.00164342	0.00343890	0.00066633	0.00127367	0.00174079	0.00114558	0.00221377	0.00203179	0.00119227	0.00164170	0.00092504	0.00117268	0.00179552	0.00071821	0.00433874	0.00193484	0.00154431	0.00139508	0.00091489	0.00280993	0.00153147	0.00231308	0.00148105	0.00230467	0.00092827	0.00098037	0.00122638
