year	LC	NT	VU	EN	CR	EX
0	70	53	38	22	17	0
1	71	52	38	22	16	1
2	71	51	38	22	16	1
3	72	50	38	22	16	2
4	72	50	38	22	15	3
5	73	49	38	22	15	3
6	73	48	37	22	14	4
7	73	48	37	22	14	5
8	74	47	37	22	14	5
9	74	47	37	22	14	6
10	75	46	37	22	13	7
11	75	45	37	22	13	7
12	75	45	37	22	13	8
13	76	44	37	22	12	9
14	76	43	37	22	12	9
15	76	43	37	22	12	10
16	77	42	36	22	12	11
17	77	42	36	22	11	11
18	77	41	36	22	11	12
19	78	41	36	22	11	13
20	78	40	36	22	11	13
21	78	40	36	22	10	14
22	79	39	36	22	10	14
23	79	39	36	22	10	15
24	79	38	36	22	10	16
25	79	38	35	22	10	16
26	80	37	35	22	9	17
27	80	37	35	22	9	17
28	80	36	35	21	9	18
29	80	36	35	21	9	19
30	81	35	35	21	9	19
31	81	35	35	21	9	20
32	81	35	35	21	8	20
33	81	34	35	21	8	21
34	82	34	34	21	8	21
35	82	33	34	21	8	22
36	82	33	34	21	8	23
37	82	33	34	21	8	23
38	82	32	34	20	8	24
39	83	32	34	20	7	24
40	83	31	34	20	7	25
41	83	31	33	20	7	25
42	83	31	33	20	7	26
43	83	30	33	20	7	26
44	83	30	33	20	7	27
45	84	30	33	20	7	27
46	84	29	33	20	7	28
47	84	29	33	19	7	28
48	84	29	32	19	7	29
49	84	28	32	19	6	30
50	84	28	32	19	6	30
51	84	28	32	19	6	31
52	85	27	32	19	6	31
53	85	27	32	19	6	32
54	85	27	32	19	6	32
55	85	27	31	18	6	33
56	85	26	31	18	6	33
57	85	26	31	18	6	34
58	85	26	31	18	6	34
59	86	25	31	18	6	35
60	86	25	31	18	6	35
61	86	25	31	18	5	36
62	86	25	31	18	5	36
63	86	24	30	17	5	37
64	86	24	30	17	5	37
65	86	24	30	17	5	38
66	86	24	30	17	5	38
67	86	23	30	17	5	38
68	86	23	30	17	5	39
69	86	23	29	17	5	39
70	87	23	29	17	5	40
71	87	22	29	16	5	40
72	87	22	29	16	5	41
73	87	22	29	16	5	41
74	87	22	29	16	5	42
75	87	21	29	16	5	42
76	87	21	29	16	5	43
77	87	21	28	16	5	43
78	87	21	28	16	5	43
79	87	21	28	16	5	44
80	87	20	28	15	5	44
81	87	20	28	15	5	45
82	87	20	28	15	5	45
83	87	20	28	15	4	46
84	87	20	27	15	4	46
85	87	19	27	15	4	46
86	87	19	27	15	4	47
87	88	19	27	15	4	47
88	88	19	27	15	4	48
89	88	19	27	14	4	48
90	88	19	27	14	4	49
91	88	18	27	14	4	49
92	88	18	26	14	4	49
93	88	18	26	14	4	50
94	88	18	26	14	4	50
95	88	18	26	14	4	51
96	88	18	26	14	4	51
97	88	17	26	14	4	51
98	88	17	26	14	4	52
99	88	17	25	13	4	52
100	88	17	25	13	4	53
101	88	17	25	13	4	53
102	88	17	25	13	4	53
103	88	17	25	13	4	54
104	88	16	25	13	4	54
105	88	16	25	13	4	54
106	88	16	25	13	4	55
107	88	16	24	13	4	55
108	88	16	24	13	4	56
109	88	16	24	12	4	56
110	88	16	24	12	4	56
111	88	16	24	12	4	57
112	88	15	24	12	4	57
113	88	15	24	12	4	57
114	88	15	24	12	4	58
115	88	15	24	12	3	58
116	88	15	23	12	3	59
117	88	15	23	12	3	59
118	88	15	23	12	3	59
119	88	15	23	12	3	60
